name,TopX,TopY,Width,Height

crouchlightpunch0,0,61,72,66
crouchlightpunch1,76,61,99,66
crouchlightpunch2,179,61,72,66

crouchmedpunch0,256,62,62,65
crouchmedpunch1,322,62,64,65
crouchmedpunch2,390,61,102,66
crouchmedpunch3,496,62,64,65

crouchheavypunch0,565,53,67,74
crouchheavypunch1,636,36,83,91
crouchheavypunch2,723,0,60,127
crouchheavypunch3,787,36,83,91
crouchheavypunch4,874,53,67,74


crouchlightkick0,0,132,76,65
crouchlightkick1,80,132,109,65
crouchlightkick2,193,132,76,65

crouchmedkick0,274,132,76,65
crouchmedkick1,354,138,93,59
crouchmedkick2,451,144,135,53
crouchmedkick3,590,132,76,65

crouchheavykick0,671,132,76,65
crouchheavykick1,751,135,55,62
crouchheavykick2,810,137,119,60
crouchheavykick3,933,139,64,58
crouchheavykick4,1001,135,65,62
crouchheavykick5,1070,133,60,64



