name,TopX,TopY,Width,Height

idle0,2,7,66,93
idle1,72,7,66,93
idle2,142,6,66,94
idle3,211,4,66,96
idle4,282,3,66,97
idle5,353,2,64,98
idle6,422,2,64,98
idle7,492,4,66,96
idle8,562,6,66,94

walkforward0,2,111,63,89
walkforward1,70,107,70,93
walkforward2,141,105,68,95
walkforward3,218,105,59,95
walkforward4,290,106,54,94
walkforward5,357,107,56,93

walkbackward0,2,211,63,89
walkbackward1,72,207,61,93
walkbackward2,146,206,54,94
walkbackward3,222,205,54,95
walkbackward4,284,205,61,95
walkbackward5,351,207,63,93
